rank_abs,feature,correlation,abs_correlation,r_squared,slope_status_on_feature,intercept,p_value,mean,sd
244,A_HV_L6,-0.05488835061670919,0.05488835061670919,0.0030127310334228004,-0.3166913250957382,1.49480182535132,0.2734477294719359,-0.016414010226230413,0.19401824312238883
245,axisMean_i_V_L5,-0.05402705545764974,0.05402705545764974,0.002918922721423961,-169.42915342168524,1.5041338058590286,0.28105740978793897,2.439843306505891e-05,0.00035696177467319114
246,axisMean_k_V_L3,0.053262122087799825,0.053262122087799825,0.002836853649295694,272.99934822852885,1.5237767069159378,0.2879347154635468,-8.709437245994524e-05,0.00021840139594309654
247,axisConc_V_L6,0.05288319723848358,0.05288319723848358,0.0027966325501643575,98.64012498163882,1.37660450070952,0.29138306059323155,0.0012509665748441535,0.0006001539164349956
248,ampEntropy_H_L1,0.05268868331577987,0.05268868331577987,0.00277609734955054,0.778680856813539,1.1867455454361417,0.2931639031606467,0.4022886293182231,0.07574542417495911
249,axisMean_k_D_L2,0.05171181554936292,0.05171181554936292,0.0026741118674113323,1121.614657236376,1.5072281944496428,0.30221733465702266,-6.4444543435736225e-06,5.161128403421549e-05
250,axisMean_j_D_L4,0.05131794662099777,0.05131794662099777,0.0026335316453955765,465.8228193126857,1.4983371178495455,0.30591951549410423,3.5697739172763532e-06,0.00012332384747594833
251,axisMean_j_D_L5,-0.050275125518396316,0.050275125518396316,0.0025275882458905045,-283.3831628064454,1.4991259303261963,0.31586560231689026,-3.0844093387459267e-06,0.0001985992823299028
252,axisMean_j_H_L6,-0.049731937121855245,0.049731937121855245,0.002473265569892164,-63.01016907866727,1.4962114021715691,0.32112921442765924,-6.012676816818075e-05,0.0008835340378694251
253,slope_V,-0.04933278379124966,0.04933278379124966,0.0024337235565941853,-0.1922370024039819,2.0560677468194717,0.32503326975955255,2.892615572786074,0.2872745753944737
254,axisMean_j_D_L6,-0.04849424624419398,0.04849424624419398,0.002351691918792522,-142.76789588118433,1.5014645936725288,0.3333346435731627,1.0258564528735142e-05,0.0003802403567935511
255,axisMean_j_H_L4,0.04366690347507675,0.04366690347507675,0.0019067984591016698,186.74308266485522,1.500191140930397,0.38374296643749295,-1.023550257762836e-06,0.00026176189547261024
256,axisMean_j_H_L2,0.043319463172854816,0.043319463172854816,0.0018765758895843247,299.8943979769862,1.4879621442557598,0.38754197752540576,4.014031547586272e-05,0.0001617012090589706
257,axisMean_k_H_L2,-0.04287103475073911,0.04287103475073911,0.0018379256205990806,-316.80282526875544,1.5027219024426488,0.39247884901746705,8.59178714817223e-06,0.000151486340468863
258,axisMean_i_H_L5,-0.03967872442255752,0.03967872442255752,0.0015744011718012627,-124.5427731121471,1.5015190201745559,0.4287090355606069,1.2196774944042367e-05,0.00035664630165844146
259,axisMean_j_H_L5,0.03771864866948725,0.03771864866948725,0.0014226964574522124,78.96861255291243,1.4992271591242536,0.45188275638832176,9.786684237722001e-06,0.0005346876729276888
260,axisMean_k_D_L6,0.031906465957091214,0.031906465957091214,0.0010180225698710205,95.93261180620082,1.4961037269916688,0.5245846105944555,4.0614687070151384e-05,0.00037231539048308566
261,axisConc_H_L5,0.02990463741832054,0.02990463741832054,0.0008942873391212169,101.7890545356561,1.4310103156175609,0.5509384927272368,0.0006777711483534067,0.0003288789028883817
262,axisMean_k_D_L3,-0.02936679823433601,0.02936679823433601,0.0008624088385362005,-348.6557264888852,1.4971501182961886,0.5581280723020622,-8.173913368671424e-06,9.42884184327362e-05
263,axisMean_j_V_L4,-0.02627901001991369,0.02627901001991369,0.0006905863676267242,-98.35809014149679,1.5088561914958636,0.6002605231939977,9.004029544619224e-05,0.00029908695246848906
264,axisMean_i_D_L1,0.024879612846785654,0.024879612846785654,0.0006189951354059418,392.66572906700117,1.5033183202391305,0.6198155042057395,-8.45075083841656e-06,7.092823838298726e-05
265,ampKurt_D_L1,-0.023227585767318988,0.023227585767318988,0.0005395207405781596,-0.006599159279826382,1.5719721519605232,0.6432494036239021,10.906260768783357,3.9401614345593057
266,axisMean_k_H_L4,-0.023099630328025658,0.023099630328025658,0.0005335929212914428,-121.04923582863955,1.5016144924128692,0.6450796802868449,1.3337485377889207e-05,0.00021361981369432588
267,axisMean_i_H_L2,-0.022101987900098288,0.022101987900098288,0.0004884978691360911,-285.44397170147187,1.5078988429002638,0.6594227871906481,2.7672130727372926e-05,8.667802668131712e-05
268,axisMean_j_D_L2,-0.020322145235035904,0.020322145235035904,0.0004129895869538925,-598.5920028599074,1.5006653953226199,0.6853211036014452,1.111600755507506e-06,3.8004690027494965e-05
269,ampKurt_V_L1,-0.019844989643563262,0.019844989643563262,0.00039382361395313314,-0.0001426078803611023,1.519615962648212,0.6923288162395435,137.5517439747496,155.77792193552762
270,share_V,0.019670277101948064,0.019670277101948064,0.00038691980126742237,0.2877178969498566,1.3847622567635665,0.69490133538628,0.4005233753551212,0.07653184004526063
271,phaseVar_D_L3,-0.019604954716138052,0.019604954716138052,0.0003843542494218237,-1.1968357235636116,1.6364938363103705,0.6958640630734024,0.11404559006975193,0.01833706625357078
272,phaseConc_D_L3,0.01960495471613799,0.01960495471613799,0.0003843542494218212,1.196835723563608,0.43965811274676203,0.6958640630734034,0.8859544099302481,0.01833706625357078
273,ampStd_V_L6,0.019341647572010217,0.019341647572010217,0.00037409933079984875,0.04242248725071451,1.4269218347151453,0.6997496488225725,1.7226280216189762,0.5103826378383006
274,axisConc_D_L5,-0.01907270958003882,0.01907270958003882,0.00036376825072450457,-144.90867809320326,1.5443318401303636,0.7037264280930985,0.00030592950480060337,0.00014733860561887455
275,ampStd_H_L6,-0.01838369456152023,0.01838369456152023,0.0003379602257312684,-0.045408626618282405,1.5757478642397984,0.7139515512350413,1.6681381904930999,0.4532032161826558
276,axisMean_k_H_L5,0.01764659364844649,0.01764659364844649,0.000311402267393392,50.14000864971766,1.4994227520908177,0.7249471798465331,1.1512720574401648e-05,0.0003939807793916383
277,axisMean_k_H_L3,0.01683528625716705,0.01683528625716705,0.0002834268633607577,109.67343858548786,1.4984008824213846,0.7371153604633733,1.4580718898212724e-05,0.0001718373630286431
278,axisMean_j_D_L3,-0.0164722722732939,0.0164722722732939,0.000271335753845527,-264.75301234100374,1.502459298856826,0.7425814750871446,9.28903068969901e-06,6.964840197554193e-05
