status,className,recall,precision,F1
0,Normal,0.6585,0.71304818624797,0.684689368338965
1,Benign,0.646,0.544,0.590628571428572
2,InSitu,0.643,0.620656370656371,0.631630648330059
3,Invasive,0.639,0.749120750293083,0.689692390717755
